Produto,Idade,Sexo,Educacao,EstadoCivil,Uso,CondicionamentoFisico,Renda,Milhas
TM195,18,Masculino,14,Solteiro,3,4,29562,112
TM195,19,Masculino,15,Solteiro,2,3,31836,75
TM195,19,Feminino,14,Casado,4,3,30699,66
TM195,19,Masculino,12,Solteiro,3,3,32973,85
TM195,20,Masculino,13,Casado,4,2,35247,47
TM195,20,Feminino,14,Casado,3,3,32973,66
TM195,21,Feminino,14,Casado,3,3,35247,75
TM195,21,Masculino,13,Solteiro,3,3,32973,85
TM195,21,Masculino,15,Solteiro,5,4,35247,141
TM195,21,Feminino,15,Casado,2,3,37521,85
TM195,22,Masculino,14,Solteiro,3,3,36384,85
TM195,22,Feminino,14,Casado,3,2,35247,66
TM195,22,Feminino,16,Solteiro,4,3,36384,75
TM195,22,Feminino,14,Solteiro,3,3,35247,75
TM195,23,Masculino,16,Casado,3,1,38658,47
TM195,23,Masculino,16,Casado,3,3,40932,75
TM195,23,Feminino,14,Solteiro,2,3,34110,103
TM195,23,Masculino,16,Casado,4,3,39795,94
TM195,23,Feminino,16,Solteiro,4,3,38658,113
TM195,23,Feminino,15,Casado,2,2,34110,38
TM195,23,Masculino,14,Solteiro,4,3,38658,113
TM195,23,Masculino,16,Solteiro,4,3,40932,94
TM195,24,Feminino,16,Solteiro,4,3,42069,94
TM195,24,Feminino,16,Casado,5,5,44343,188
TM195,24,Masculino,14,Solteiro,2,3,45480,113
TM195,24,Masculino,13,Casado,3,2,42069,47
TM195,24,Feminino,16,Solteiro,4,3,46617,75
TM195,25,Feminino,14,Casado,3,3,48891,75
TM195,25,Masculino,14,Casado,2,3,45480,56
TM195,25,Feminino,14,Casado,2,2,53439,47
TM195,25,Feminino,14,Casado,3,3,39795,85
TM195,25,Masculino,16,Solteiro,3,4,40932,113
TM195,25,Feminino,16,Casado,2,2,40932,47
TM195,25,Masculino,16,Solteiro,3,3,43206,85
TM195,26,Feminino,14,Casado,3,4,44343,113
TM195,26,Feminino,16,Casado,4,3,52302,113
TM195,26,Masculino,16,Casado,2,2,53439,47
TM195,26,Masculino,16,Casado,3,3,51165,85
TM195,26,Feminino,16,Solteiro,3,3,36384,66
TM195,26,Masculino,16,Casado,4,4,44343,132
TM195,26,Masculino,16,Solteiro,3,3,50028,85
TM195,27,Feminino,14,Casado,3,2,45480,66
TM195,27,Masculino,16,Solteiro,4,3,54576,85
TM195,27,Feminino,14,Casado,2,3,45480,56
TM195,28,Feminino,14,Casado,2,3,46617,56
TM195,28,Feminino,16,Casado,2,3,52302,66
TM195,28,Masculino,14,Solteiro,3,3,52302,103
TM195,28,Feminino,14,Casado,3,3,54576,94
TM195,28,Masculino,14,Solteiro,4,3,54576,113
TM195,28,Feminino,16,Casado,3,3,51165,56
TM195,29,Masculino,18,Casado,3,3,68220,85
TM195,29,Feminino,14,Casado,2,2,46617,38
TM195,29,Feminino,16,Casado,4,3,50028,94
TM195,30,Masculino,14,Casado,4,4,46617,141
TM195,30,Masculino,14,Solteiro,3,3,54576,85
TM195,31,Masculino,14,Casado,2,2,54576,47
TM195,31,Feminino,14,Solteiro,2,2,45480,47
TM195,32,Feminino,14,Solteiro,3,4,46617,113
TM195,32,Masculino,14,Casado,4,3,52302,85
TM195,33,Feminino,16,Solteiro,2,2,55713,38
TM195,33,Feminino,16,Casado,3,3,46617,85
TM195,34,Masculino,16,Solteiro,4,5,51165,169
TM195,34,Feminino,16,Solteiro,2,2,52302,66
TM195,35,Masculino,16,Casado,4,3,48891,85
TM195,35,Feminino,16,Casado,3,3,60261,94
TM195,35,Feminino,18,Solteiro,3,3,67083,85
TM195,36,Masculino,12,Solteiro,4,3,44343,94
TM195,37,Feminino,16,Casado,3,3,37521,85
TM195,38,Masculino,16,Casado,3,3,46617,75
TM195,38,Feminino,14,Casado,2,3,54576,56
TM195,38,Masculino,14,Solteiro,2,3,52302,56
TM195,38,Masculino,16,Casado,3,3,56850,75
TM195,39,Masculino,16,Casado,4,4,59124,132
TM195,40,Masculino,16,Casado,3,3,61398,66
TM195,41,Masculino,16,Casado,4,3,54576,103
TM195,43,Masculino,16,Casado,3,3,53439,66
TM195,44,Feminino,16,Solteiro,3,4,57987,75
TM195,46,Feminino,16,Casado,3,2,60261,47
TM195,47,Masculino,16,Casado,4,3,56850,94
TM195,50,Feminino,16,Casado,3,3,64809,66
TM498,19,Masculino,14,Solteiro,3,3,31836,64
TM498,20,Masculino,14,Solteiro,2,3,32973,53
TM498,20,Feminino,14,Casado,3,3,34110,106
TM498,20,Masculino,14,Solteiro,3,3,38658,95
TM498,21,Feminino,14,Casado,5,4,34110,212
TM498,21,Masculino,16,Casado,2,2,34110,42
TM498,21,Masculino,12,Casado,2,2,32973,53
TM498,23,Masculino,14,Casado,3,3,36384,95
TM498,23,Masculino,14,Casado,3,3,38658,85
TM498,23,Feminino,16,Solteiro,3,3,45480,95
TM498,23,Masculino,16,Casado,4,3,45480,127
TM498,23,Feminino,16,Casado,3,2,43206,74
TM498,23,Feminino,14,Solteiro,3,2,40932,53
TM498,23,Masculino,16,Casado,3,3,45480,64
TM498,24,Feminino,14,Solteiro,3,2,40932,85
TM498,24,Masculino,14,Solteiro,3,4,48891,106
TM498,24,Feminino,16,Solteiro,3,3,50028,106
TM498,25,Feminino,14,Casado,2,3,45480,85
TM498,25,Feminino,14,Solteiro,3,4,43206,127
TM498,25,Masculino,16,Casado,2,2,52302,42
TM498,25,Feminino,14,Casado,5,3,47754,106
TM498,25,Masculino,14,Solteiro,3,3,45480,95
TM498,25,Feminino,14,Solteiro,2,3,43206,64
TM498,25,Masculino,14,Casado,4,3,45480,170
TM498,25,Masculino,14,Casado,3,4,43206,106
TM498,25,Masculino,16,Casado,2,3,50028,53
TM498,25,Feminino,14,Solteiro,2,2,45480,42
TM498,25,Masculino,14,Solteiro,4,3,48891,127
TM498,26,Feminino,16,Casado,4,3,45480,85
TM498,26,Feminino,16,Solteiro,4,4,50028,127
TM498,26,Masculino,16,Solteiro,4,3,51165,106
TM498,27,Masculino,14,Solteiro,4,2,45480,53
TM498,29,Feminino,14,Casado,3,3,51165,95
TM498,30,Feminino,14,Solteiro,3,3,57987,74
TM498,30,Feminino,13,Solteiro,4,3,46617,106
TM498,31,Masculino,16,Casado,3,3,52302,95
TM498,31,Feminino,16,Casado,2,3,51165,64
TM498,31,Feminino,18,Solteiro,2,1,65220,21
TM498,32,Masculino,16,Solteiro,4,3,60261,127
TM498,32,Masculino,16,Casado,3,3,53439,95
TM498,33,Masculino,13,Casado,4,4,53439,170
TM498,33,Feminino,16,Casado,2,3,50028,85
TM498,33,Masculino,16,Casado,3,3,51165,95
TM498,33,Feminino,16,Casado,5,3,53439,95
TM498,33,Feminino,18,Solteiro,3,4,47754,74
TM498,34,Feminino,16,Casado,4,3,64809,95
